scenario_id,scenario_group,family,attack_present,designed_evasive,desired_security_alert,expected_operational_route,affected_metrics,multipliers,target_statuses,history_statuses,event_key,lifecycle_key,lifecycle_metric,description
normal_control,control,normal_activity,False,False,False,NO_ALERT,,,,,,,,Ordinary hourly variation with diurnal seasonality.
planned_cloud_drift,benign,concept_drift,False,False,False,NO_SECURITY_ALERT,outbound_mb|inbound_requests,outbound_mb:1.12|inbound_requests:1.1,,,cloud_migration,,,Small documented baseline shift below anomaly thresholds.
approved_backup,benign,backup_window,False,False,False,BENIGN_EXPLAINED_BREAK,outbound_mb,outbound_mb:4.0,,,approved_backup,,,Large outbound transfer explained by an approved backup.
software_release,benign,release_error_burst,False,False,False,BENIGN_EXPLAINED_BREAK,api_5xx,api_5xx:8.0,,,software_release,,,Documented release produces a transient 5xx burst.
campaign_traffic,benign,legitimate_traffic_surge,False,False,False,BENIGN_EXPLAINED_BREAK,successful_logins|inbound_requests,successful_logins:2.4|inbound_requests:3.0,,,campaign,,,Legitimate campaign causes a large explained demand surge.
password_spray,attack,password_spray,True,False,True,SECURITY_ANOMALY_REVIEW,auth_failures|unique_failed_accounts|unique_source_ips,auth_failures:6.0|unique_failed_accounts:4.0|unique_source_ips:3.0,,,,,,Abrupt authentication failures distributed across accounts and sources.
credential_stuffing,attack,credential_stuffing,True,False,True,SECURITY_ANOMALY_REVIEW,auth_failures|successful_logins|unique_source_ips,auth_failures:10.0|successful_logins:2.0|unique_source_ips:5.0,,,,,,High-volume credential replay with some successful access.
ddos_burst,attack,denial_of_service,True,False,True,SECURITY_ANOMALY_REVIEW,inbound_requests|api_5xx,inbound_requests:10.0|api_5xx:12.0,,,,,,Abrupt request flood and service errors.
exfiltration_burst,attack,data_exfiltration,True,False,True,SECURITY_ANOMALY_REVIEW,outbound_mb,outbound_mb:7.0,,,,,,Large unexplained outbound transfer.
ransomware_burst,attack,ransomware,True,False,True,SECURITY_ANOMALY_REVIEW,endpoint_alerts|file_rename_events,endpoint_alerts:12.0|file_rename_events:20.0,,,,,,Abrupt endpoint detections and mass file rename activity.
privilege_escalation,attack,privilege_escalation,True,False,True,SECURITY_ANOMALY_REVIEW,privileged_changes,privileged_changes:15.0,,,,,,Unexplained burst of privileged role changes.
slow_exfiltration,evasive_attack,low_and_slow_exfiltration,True,True,True,SECURITY_ANOMALY_REVIEW,outbound_mb,outbound_mb:1.18,,,,,,Exfiltration remains below the fixed 25% per-metric threshold.
correlated_subthreshold,evasive_attack,correlated_low_signal_intrusion,True,True,True,SECURITY_ANOMALY_REVIEW,auth_failures|unique_failed_accounts|outbound_mb|endpoint_alerts,auth_failures:1.18|unique_failed_accounts:1.18|outbound_mb:1.18|endpoint_alerts:1.18,,,,,,Four correlated weak signals; each remains below the univariate threshold.
collector_failure,data_quality,telemetry_failure,False,False,False,TELEMETRY_HOLD,api_5xx,,api_5xx:failed,,,,,"Collector failure must be held, never converted to numeric zero."
log_suppression_attack,evasive_attack,telemetry_suppression,True,True,True,TELEMETRY_HOLD,endpoint_alerts,,endpoint_alerts:suppressed,,,,,Attack suppresses the target telemetry; system should hold and escalate quality risk.
new_edr_sensor,lifecycle,new_telemetry_series,False,False,False,SERIES_LIFECYCLE_CHANGE,endpoint_alerts,,,endpoint_alerts:not_published,,new_sensor,endpoint_alerts,New EDR series starts; absence before activation is not zero.
retired_proxy_metric,lifecycle,retired_telemetry_series,False,False,False,SERIES_LIFECYCLE_CHANGE,api_5xx,,api_5xx:not_published,,,retired_metric,api_5xx,Legacy metric is retired; target absence is not a zero-valued shock.
